epoch: 0	train ppl: 542.2002737430074	val ppl: 242.25368591812438	best val: 242.25368591812438	time (s) spent in epoch: 48.82263422012329
epoch: 1	train ppl: 163.77245898828386	val ppl: 150.4086212425195	best val: 150.4086212425195	time (s) spent in epoch: 49.05921530723572
epoch: 2	train ppl: 96.0308317937578	val ppl: 129.05381555165735	best val: 129.05381555165735	time (s) spent in epoch: 49.103185176849365
epoch: 3	train ppl: 65.74438621077655	val ppl: 126.57875180185695	best val: 126.57875180185695	time (s) spent in epoch: 49.0600962638855
epoch: 4	train ppl: 48.23742859685528	val ppl: 130.98365895455913	best val: 126.57875180185695	time (s) spent in epoch: 48.85951042175293
epoch: 5	train ppl: 36.48356755313008	val ppl: 138.99007965395163	best val: 126.57875180185695	time (s) spent in epoch: 48.83320593833923
epoch: 6	train ppl: 28.172285085494682	val ppl: 155.24647262428735	best val: 126.57875180185695	time (s) spent in epoch: 48.866193771362305
epoch: 7	train ppl: 22.186871841570067	val ppl: 176.20954264860114	best val: 126.57875180185695	time (s) spent in epoch: 48.80462384223938
epoch: 8	train ppl: 17.80935981781916	val ppl: 203.83660674496747	best val: 126.57875180185695	time (s) spent in epoch: 48.85980033874512
epoch: 9	train ppl: 14.492358859236395	val ppl: 233.89661197074994	best val: 126.57875180185695	time (s) spent in epoch: 48.80592370033264
epoch: 10	train ppl: 11.961756706258162	val ppl: 277.5211165763577	best val: 126.57875180185695	time (s) spent in epoch: 48.85734796524048
epoch: 11	train ppl: 9.964165463977428	val ppl: 323.46998606947164	best val: 126.57875180185695	time (s) spent in epoch: 48.84624910354614
epoch: 12	train ppl: 8.432421055155192	val ppl: 375.92478944371925	best val: 126.57875180185695	time (s) spent in epoch: 48.89920377731323
epoch: 13	train ppl: 7.228330665913698	val ppl: 440.45102688600804	best val: 126.57875180185695	time (s) spent in epoch: 48.862971782684326
epoch: 14	train ppl: 6.292681684607118	val ppl: 520.3754903082009	best val: 126.57875180185695	time (s) spent in epoch: 48.82005429267883
epoch: 15	train ppl: 5.568533334482827	val ppl: 616.9144726777917	best val: 126.57875180185695	time (s) spent in epoch: 48.82506704330444
epoch: 16	train ppl: 4.9952040710542365	val ppl: 725.1516227540927	best val: 126.57875180185695	time (s) spent in epoch: 48.727542877197266
epoch: 17	train ppl: 4.509523021727884	val ppl: 867.5836859287316	best val: 126.57875180185695	time (s) spent in epoch: 48.78507161140442
epoch: 18	train ppl: 4.119793265287069	val ppl: 987.4916275817079	best val: 126.57875180185695	time (s) spent in epoch: 48.76671504974365
epoch: 19	train ppl: 3.7821380189153517	val ppl: 1126.7765259647895	best val: 126.57875180185695	time (s) spent in epoch: 48.74927496910095
epoch: 20	train ppl: 3.529706623350738	val ppl: 1288.9084787691263	best val: 126.57875180185695	time (s) spent in epoch: 48.708027839660645
epoch: 21	train ppl: 3.313539340014734	val ppl: 1448.5889206258025	best val: 126.57875180185695	time (s) spent in epoch: 48.68904781341553
epoch: 22	train ppl: 3.123351662125568	val ppl: 1667.7777675454904	best val: 126.57875180185695	time (s) spent in epoch: 48.645151138305664
epoch: 23	train ppl: 2.9702417438564956	val ppl: 1913.609960687273	best val: 126.57875180185695	time (s) spent in epoch: 48.65895342826843
epoch: 24	train ppl: 2.8256011873807987	val ppl: 2109.6020931223334	best val: 126.57875180185695	time (s) spent in epoch: 48.72277021408081
epoch: 25	train ppl: 2.720022222753793	val ppl: 2394.309644682394	best val: 126.57875180185695	time (s) spent in epoch: 48.66883659362793
epoch: 26	train ppl: 2.6146033083410463	val ppl: 2718.929477539401	best val: 126.57875180185695	time (s) spent in epoch: 48.67133569717407
epoch: 27	train ppl: 2.5194470802706177	val ppl: 3184.649294276332	best val: 126.57875180185695	time (s) spent in epoch: 48.662142515182495
epoch: 28	train ppl: 2.43612270770862	val ppl: 3413.4682080776624	best val: 126.57875180185695	time (s) spent in epoch: 48.67931389808655
epoch: 29	train ppl: 2.365544675529443	val ppl: 3722.008136858655	best val: 126.57875180185695	time (s) spent in epoch: 48.67029285430908
epoch: 30	train ppl: 2.305482035152464	val ppl: 4038.932619818576	best val: 126.57875180185695	time (s) spent in epoch: 48.7019567489624
epoch: 31	train ppl: 2.244106934968887	val ppl: 4513.433374093784	best val: 126.57875180185695	time (s) spent in epoch: 48.660741090774536
epoch: 32	train ppl: 2.1988494824825113	val ppl: 4937.924943294259	best val: 126.57875180185695	time (s) spent in epoch: 48.65760016441345
epoch: 33	train ppl: 2.1492916579136643	val ppl: 5370.973099431221	best val: 126.57875180185695	time (s) spent in epoch: 48.644851207733154
epoch: 34	train ppl: 2.098686327608838	val ppl: 5876.1493829806095	best val: 126.57875180185695	time (s) spent in epoch: 48.64012813568115
epoch: 35	train ppl: 2.0613339030546984	val ppl: 6648.1740120566965	best val: 126.57875180185695	time (s) spent in epoch: 48.57817220687866
epoch: 36	train ppl: 2.0367421688052203	val ppl: 7234.0238727704145	best val: 126.57875180185695	time (s) spent in epoch: 48.649901151657104
epoch: 37	train ppl: 1.9983451466338953	val ppl: 7467.542400115506	best val: 126.57875180185695	time (s) spent in epoch: 48.648560762405396
epoch: 38	train ppl: 1.9700708379616236	val ppl: 8128.2348232654385	best val: 126.57875180185695	time (s) spent in epoch: 48.601908683776855
epoch: 39	train ppl: 1.9416013007051343	val ppl: 8842.494801595536	best val: 126.57875180185695	time (s) spent in epoch: 48.60863971710205
