epoch: 0	train ppl: 569.3411363877622	val ppl: 274.2052441644355	best val: 274.2052441644355	time (s) spent in epoch: 225.11782312393188
epoch: 1	train ppl: 321.18417243994475	val ppl: 246.67948335783584	best val: 246.67948335783584	time (s) spent in epoch: 222.0466446876526
epoch: 2	train ppl: 251.97406524684055	val ppl: 190.647465590032	best val: 190.647465590032	time (s) spent in epoch: 225.90141701698303
epoch: 3	train ppl: 215.30041640223075	val ppl: 174.83747591024144	best val: 174.83747591024144	time (s) spent in epoch: 226.94397640228271
epoch: 4	train ppl: 192.5307670733906	val ppl: 162.77091158030998	best val: 162.77091158030998	time (s) spent in epoch: 227.20392274856567
epoch: 5	train ppl: 177.28415100356804	val ppl: 162.31137420467795	best val: 162.31137420467795	time (s) spent in epoch: 226.95753645896912
epoch: 6	train ppl: 166.6631781894835	val ppl: 156.94781864048147	best val: 156.94781864048147	time (s) spent in epoch: 226.45496225357056
epoch: 7	train ppl: 158.44015006857805	val ppl: 158.16374081475834	best val: 156.94781864048147	time (s) spent in epoch: 220.1940507888794
epoch: 8	train ppl: 152.7447166763541	val ppl: 148.71374095002707	best val: 148.71374095002707	time (s) spent in epoch: 225.44132328033447
epoch: 9	train ppl: 148.04689578422148	val ppl: 150.73276722799753	best val: 148.71374095002707	time (s) spent in epoch: 219.72028017044067
epoch: 10	train ppl: 143.98148880247766	val ppl: 146.23071764416983	best val: 146.23071764416983	time (s) spent in epoch: 219.7432155609131
epoch: 11	train ppl: 140.93869801105524	val ppl: 153.46476248659616	best val: 146.23071764416983	time (s) spent in epoch: 226.7666585445404
epoch: 12	train ppl: 138.54267728938626	val ppl: 156.13176405721745	best val: 146.23071764416983	time (s) spent in epoch: 223.01850819587708
epoch: 13	train ppl: 136.91261074010055	val ppl: 146.7790407269484	best val: 146.23071764416983	time (s) spent in epoch: 228.34012651443481
epoch: 14	train ppl: 135.5563306649859	val ppl: 149.5292450508097	best val: 146.23071764416983	time (s) spent in epoch: 228.26776003837585
epoch: 15	train ppl: 134.0835637188261	val ppl: 153.14894141689788	best val: 146.23071764416983	time (s) spent in epoch: 227.77300643920898
epoch: 16	train ppl: 133.54445825975057	val ppl: 150.89869050087387	best val: 146.23071764416983	time (s) spent in epoch: 224.84056401252747
epoch: 17	train ppl: 131.43807063679526	val ppl: 147.9197425322173	best val: 146.23071764416983	time (s) spent in epoch: 228.04460835456848
epoch: 18	train ppl: 130.7255042561162	val ppl: 149.15389292471428	best val: 146.23071764416983	time (s) spent in epoch: 227.70755219459534
epoch: 19	train ppl: 129.87941333712075	val ppl: 155.94393345256626	best val: 146.23071764416983	time (s) spent in epoch: 223.02394771575928
epoch: 20	train ppl: 128.81838683075785	val ppl: 152.0677323681697	best val: 146.23071764416983	time (s) spent in epoch: 224.69749903678894
epoch: 21	train ppl: 127.94619983218088	val ppl: 146.62894562090037	best val: 146.23071764416983	time (s) spent in epoch: 221.05223107337952
epoch: 22	train ppl: 126.86863307313631	val ppl: 150.20376001721218	best val: 146.23071764416983	time (s) spent in epoch: 226.39011454582214
epoch: 23	train ppl: 126.221686317707	val ppl: 150.26966192860084	best val: 146.23071764416983	time (s) spent in epoch: 225.66325998306274
epoch: 24	train ppl: 125.15808434997462	val ppl: 157.65835280150665	best val: 146.23071764416983	time (s) spent in epoch: 225.70079493522644
epoch: 25	train ppl: 124.50883929540828	val ppl: 151.61065047130643	best val: 146.23071764416983	time (s) spent in epoch: 219.65232634544373
epoch: 26	train ppl: 123.84574855908056	val ppl: 158.18017784092774	best val: 146.23071764416983	time (s) spent in epoch: 219.34086394309998
epoch: 27	train ppl: 123.39236297322573	val ppl: 151.5614375405147	best val: 146.23071764416983	time (s) spent in epoch: 219.00051879882812
epoch: 28	train ppl: 122.5362514969101	val ppl: 154.11223412624622	best val: 146.23071764416983	time (s) spent in epoch: 222.01824641227722
epoch: 29	train ppl: 121.55004880509041	val ppl: 154.07731452732165	best val: 146.23071764416983	time (s) spent in epoch: 227.17588305473328
epoch: 30	train ppl: 120.65391017866172	val ppl: 152.67056205396494	best val: 146.23071764416983	time (s) spent in epoch: 222.3095350265503
epoch: 31	train ppl: 119.74447873227506	val ppl: 153.93282106699388	best val: 146.23071764416983	time (s) spent in epoch: 227.69261693954468
epoch: 32	train ppl: 119.60349989030682	val ppl: 156.81773831323838	best val: 146.23071764416983	time (s) spent in epoch: 225.71308946609497
epoch: 33	train ppl: 119.01830116304814	val ppl: 153.47198076541136	best val: 146.23071764416983	time (s) spent in epoch: 227.55070328712463
epoch: 34	train ppl: 117.9503767863614	val ppl: 151.69419736743615	best val: 146.23071764416983	time (s) spent in epoch: 227.64324235916138
epoch: 35	train ppl: 117.68157672865858	val ppl: 163.5411908120935	best val: 146.23071764416983	time (s) spent in epoch: 226.06960535049438
epoch: 36	train ppl: 117.07784919887149	val ppl: 158.5792618559885	best val: 146.23071764416983	time (s) spent in epoch: 222.97511434555054
epoch: 37	train ppl: 116.6629820007659	val ppl: 159.18534467965978	best val: 146.23071764416983	time (s) spent in epoch: 227.0539345741272
epoch: 38	train ppl: 116.10714778055961	val ppl: 169.41710186738442	best val: 146.23071764416983	time (s) spent in epoch: 221.96667766571045
epoch: 39	train ppl: 115.53454277632731	val ppl: 155.65350603680804	best val: 146.23071764416983	time (s) spent in epoch: 219.42173147201538
