epoch: 0	train ppl: 283.3972639594853	val ppl: 205.6336840473013	best val: 205.6336840473013	time (s) spent in epoch: 942.7229206562042
epoch: 1	train ppl: 135.78374703513305	val ppl: 171.4078823695473	best val: 171.4078823695473	time (s) spent in epoch: 945.6210861206055
epoch: 2	train ppl: 91.69324054287986	val ppl: 165.93353104999701	best val: 165.93353104999701	time (s) spent in epoch: 947.3281841278076
epoch: 3	train ppl: 66.2609981294759	val ppl: 170.36262188287267	best val: 165.93353104999701	time (s) spent in epoch: 941.2478361129761
epoch: 4	train ppl: 49.91864306769853	val ppl: 185.2139739576603	best val: 165.93353104999701	time (s) spent in epoch: 946.9431622028351
epoch: 5	train ppl: 38.993073701118966	val ppl: 202.05754225425812	best val: 165.93353104999701	time (s) spent in epoch: 998.3861043453217
epoch: 6	train ppl: 31.267066206697383	val ppl: 220.55675178251008	best val: 165.93353104999701	time (s) spent in epoch: 976.6348602771759
epoch: 7	train ppl: 25.92082177233396	val ppl: 245.183332466877	best val: 165.93353104999701	time (s) spent in epoch: 963.760124206543
epoch: 8	train ppl: 21.976771732369794	val ppl: 271.1886813334717	best val: 165.93353104999701	time (s) spent in epoch: 1020.5553724765778
epoch: 9	train ppl: 19.063543891797003	val ppl: 295.05514263343406	best val: 165.93353104999701	time (s) spent in epoch: 950.11634349823
